Card	Reason
Abuna's Chant	choose
Active Volcano	choose
Adaptive Automaton	creature type choice
Adarkar Unicorn	mana pool
Aeon Chronicler	suspend
AEther Burst	multiple targets
AEther Shockwave	choose
AEther Storm	opponent activate
Agent of Stromgald	mana pool
Aggravated Assault	additional combat phase
Akki Rockspeaker	mana pool
Akuta, Born of Ash	from graveyard
Alabaster Leech	cost modification
Alabaster Potion	choose
Alive // Well	split card
All Suns' Dawn	multiple targets
Alluring Scent	all block
Altar of Shadows	mana pool
Altar of the Lost	mana pool
Alter Reality	edit card text
Amulet of Quoz	ante
An-Havva Township	mana pool
An-Zerrin Ruins	creature type choice
Ancestral Vision	suspend
Ancient Spring	mana pool
Ancient Tomb	mana pool
Ancient Ziggurat	mana restriction
Andradite Leech	cost modification
Angel of Salvation	convoke
Angel of Serenity	multiple targets
Animar, Soul of Elements	cost modification
Anthousa, Setessan Hero	multiple targets
Aphetto Dredging	multiple targets
Apprentice Wizard	mana pool
Arc Blade	suspend
Arc Lightning	divided damage
Arc Mage	divided damage
Arcane Melee	cost modification
Archon of the Triumvirate	multiple targets
Armageddon Clock	opponent activate
Armed // Dangerous	split card
Arrow Volley Trap	divided damage
Ash Zealot	from graveyard
Ashen Ghoul	from graveyard
Ashes of the Fallen	creature type choice
Ashnod's Altar	mana pool
Assault // Battery	split card
Assert Authority	split card
Astral Cornucopia	mana pool
Astrolabe	mana pool
Atalya, Samite Master	choose
Aura of Silence	cost modification
Aurelia, the Warleader	additional combat phase
Aurelia's Fury	divided damage
Aurora Eidolon	from graveyard
Austere Command	choose
Autochthon Wurm	convoke
Aven Augur	multiple targets
Avizoa	skip step/phase/turn
Axebane Guardian	mana pool
Aysen Abbey	mana pool
Azorius Chancery	mana pool
Azorius Charm	choose
Azorius Justiciar	multiple targets
Azorius Signet	mana pool
Balduvian Trading Post	mana pool
Ballyrush Banneret	cost modification
Bamboozle	multiple targets
Bant Charm	choose
Barbed Lightning	choose
Barrin's Spite	multiple targets
Basal Sliver	mana pool
Basal Thrull	mana pool
Basalt Monolith	mana pool
Baton of Morale	banding
Battering Ram	banding
Battle Hymn	mana pool
Beck // Call	split card
Belbe's Portal	creature type choice
Benalish Commander	suspend
Benalish Hero	banding
Benalish Infantry	banding
Betrayal of Flesh	choose
Black Lotus	mana pool
Black Mana Battery	mana pool
Black Market	mana pool
Blades of Velis Vel	multiple targets
Bladewing's Thrall	from graveyard
Blasphemous Act	cost modification
Blinding Beam	choose
Blinkmoth Infusion	affinity
Blinkmoth Urn	mana pool
Blood Celebrant	mana pool
Blood Funnel	cost modification
Blood Speaker	from graveyard
Blood Vassal	mana pool
Bloodghast	from graveyard
Bloodline Shaman	creature type choice
Bloodscent	all block
Bloom Tender	mana pool
Blue Elemental Blast	choose
Blue Mana Battery	mana pool
Bog Initiate	mana pool
Bog Witch	mana pool
Bogardan Hellkite	divided damage
Booby Trap	name a card
Boom // Bust	split card
Boros Battleshaper	multiple targets
Boros Charm	choose
Boros Garrison	mana pool
Boros Signet	mana pool
Bosk Banneret	cost modification
Bottomless Vault	mana pool
Boulderfall	divided damage
Bound // Determined	split card
Bow of Nylea	choose
Braid of Fire	mana pool
Brain Pry	name a card
Branching Bolt	choose
Brass Herald	creature type choice
Breaking // Entering	split card
Breath of Fury	additional combat phase
Bridge from Below	from graveyard
Brighthearth Banneret	cost modification
Brightstone Ritual	mana pool
Bronze Tablet	ante
Broodstar	affinity
Brutalizer Exarch	choose
Bubbling Muck	mana pool
Budoka Gardener	flip
Budoka Pupil	flip
Bump in the Night	from graveyard
Burning Vengeance	from graveyard
Burning-Tree Emissary	mana pool
Burnt Offering	mana pool
Cabal Coffers	mana pool
Cabal Ritual	mana pool
Cadaverous Bloom	mana pool
Caged Sun	mana pool
Calciform Pools	mana pool
Caller of the Hunt	creature type choice
Callous Oppressor	creature type choice
Camel	banding
Cannibalize	multiple targets
Capricious Efreet	multiple targets
Carnival of Souls	mana pool
Carpet of Flowers	mana pool
Carrion Beetles	multiple targets
Cascade Bluffs	mana pool
Castle Sengir	mana pool
Catch // Release	split card
Cathodion	mana pool
Cauldron Haze	multiple targets
Cauldron of Souls	multiple targets
Cavern of Souls	mana restriction
Celestial Dawn	mana restriction
Celestial Gatekeeper	multiple targets
Celestial Prism	mana pool
Centaur Omenreader	cost modification
Cephalid Constable	multiple targets
Ceta Disciple	mana pool
